Report Date,Crime Category,count
2009-04-05,Auto Theft,6
2009-04-05,Burglary,21
2009-04-05,Homicide,1
2009-04-05,Larceny-From Vehicle,23
2009-04-05,Larceny-Non Vehicle,17
2009-04-05,Robbery,4
2009-04-06,Agg Assault,5
2009-04-06,Auto Theft,9
2009-04-06,Burglary,28
2009-04-06,Larceny-From Vehicle,22
2009-04-06,Larceny-Non Vehicle,24
2009-04-06,Robbery,2
2009-04-07,Agg Assault,6
2009-04-07,Auto Theft,27
2009-04-07,Burglary,24
2009-04-07,Larceny-From Vehicle,19
2009-04-07,Larceny-Non Vehicle,23
2009-04-07,Robbery,5
2009-04-08,Agg Assault,9
2009-04-08,Auto Theft,18
2009-04-08,Burglary,27
2009-04-08,Larceny-From Vehicle,21
2009-04-08,Larceny-Non Vehicle,25
2009-04-08,Robbery,7
2009-04-09,Agg Assault,7
2009-04-09,Auto Theft,16
2009-04-09,Burglary,23
2009-04-09,Larceny-From Vehicle,19
2009-04-09,Larceny-Non Vehicle,22
2009-04-09,Robbery,7
2009-04-10,Agg Assault,6
2009-04-10,Auto Theft,20
2009-04-10,Burglary,27
2009-04-10,Homicide,1
2009-04-10,Larceny-From Vehicle,24
2009-04-10,Larceny-Non Vehicle,23
2009-04-10,Robbery,3
2009-04-11,Agg Assault,14
2009-04-11,Auto Theft,17
2009-04-11,Burglary,14
2009-04-11,Larceny-From Vehicle,21
2009-04-11,Larceny-Non Vehicle,19
2009-04-11,Robbery,5
2009-04-12,Agg Assault,11
2009-04-12,Auto Theft,10
2009-04-12,Burglary,14
2009-04-12,Larceny-From Vehicle,15
2009-04-12,Larceny-Non Vehicle,9
2009-04-12,Robbery,7
2009-04-13,Agg Assault,6
2009-04-13,Auto Theft,22
2009-04-13,Burglary,23
2009-04-13,Homicide,1
2009-04-13,Larceny-From Vehicle,19
2009-04-13,Larceny-Non Vehicle,24
2009-04-13,Robbery,5
2009-04-14,Agg Assault,8
2009-04-14,Auto Theft,10
2009-04-14,Burglary,25
2009-04-14,Larceny-From Vehicle,15
2009-04-14,Larceny-Non Vehicle,29
2009-04-14,Robbery,3
2009-04-15,Agg Assault,2
2009-04-15,Auto Theft,20
2009-04-15,Burglary,26
2009-04-15,Larceny-From Vehicle,25
2009-04-15,Larceny-Non Vehicle,20
2009-04-15,Robbery,3
2009-04-16,Agg Assault,10
2009-04-16,Auto Theft,11
2009-04-16,Burglary,24
2009-04-16,Homicide,1
2009-04-16,Larceny-From Vehicle,25
2009-04-16,Larceny-Non Vehicle,30
2009-04-16,Robbery,4
2009-04-17,Agg Assault,6
2009-04-17,Auto Theft,13
2009-04-17,Burglary,28
2009-04-17,Larceny-From Vehicle,30
2009-04-17,Larceny-Non Vehicle,22
2009-04-17,Robbery,5
2009-04-18,Agg Assault,9
2009-04-18,Auto Theft,13
2009-04-18,Burglary,30
2009-04-18,Larceny-From Vehicle,36
2009-04-18,Larceny-Non Vehicle,17
2009-04-18,Robbery,5
2009-04-19,Agg Assault,9
2009-04-19,Auto Theft,13
2009-04-19,Burglary,19
2009-04-19,Larceny-From Vehicle,35
2009-04-19,Larceny-Non Vehicle,17
2009-04-19,Robbery,6
2009-04-20,Agg Assault,10
2009-04-20,Auto Theft,19
2009-04-20,Burglary,30
2009-04-20,Larceny-From Vehicle,27
